,count,mean,std,min,max
redist_5,35766.000,4.119,0.977,1.000,5.000
wtp_redist,33456.000,0.496,0.500,0.000,1.000
mob_retro_parents,34808.000,3.244,1.242,1.000,5.000
mob_retro_4y,35223.000,2.935,1.284,1.000,5.000
mob_prospect_kids,33521.000,3.219,1.294,1.000,5.000
ladder_now,35437.000,4.221,1.713,1.000,10.000
ladder_diff,31550.000,0.432,1.649,-9.000,9.000
ladder_retro,35168.000,-0.273,1.518,-9.000,9.000
effort_belief,34835.000,0.431,0.495,0.000,1.000
merit_belief,34835.000,0.711,0.453,0.000,1.000
injustice_belief,34835.000,0.260,0.439,0.000,1.000
female,35766.000,0.591,0.492,0.000,1.000
age,35766.000,47.945,17.242,18.000,95.000
tertiary,35766.000,0.264,0.441,0.000,1.000
married,35633.000,0.537,0.499,0.000,1.000
urban,35766.000,0.603,0.489,0.000,1.000
log_inc,30108.000,8.990,2.699,0.693,19.008
